Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6976490274563923,0.512912912912913,0.696,0.4986449864498645,0,0.696
1,0.7019044010488836,0.4957957957957958,0.72,0.4986449864498645,0,0.696
2,0.7016001786555613,0.5063063063063064,0.703,0.4986449864498645,0,0.696
3,0.6990097948738763,0.5024024024024024,0.695,0.4986449864498645,3,0.695
4,0.6972237668595872,0.5012012012012012,0.692,0.4986449864498645,4,0.692
5,0.6956756157202048,0.5054054054054054,0.692,0.4959349593495935,4,0.692
6,0.6882638455153227,0.533933933933934,0.715,0.4986449864498645,4,0.692
7,0.6982357843860134,0.4987987987987988,0.695,0.4986449864498645,4,0.692
8,0.6969857535920702,0.5081081081081081,0.693,0.4986449864498645,4,0.692
9,0.6945440923845446,0.5225225225225225,0.693,0.4986449864498645,4,0.692
10,0.6943912842252233,0.5066066066066066,0.693,0.4986449864498645,4,0.692
11,0.6944268304664452,0.5258258258258258,0.693,0.4986449864498645,4,0.692
12,0.6939461234095576,0.5081081081081081,0.692,0.4959349593495935,4,0.692
13,0.6938366352616846,0.509009009009009,0.692,0.4959349593495935,4,0.692
14,0.6936455203964188,0.5096096096096097,0.692,0.4986449864498645,4,0.692
15,0.693485097197799,0.5192192192192192,0.692,0.4959349593495935,4,0.692
16,0.6936470304165516,0.5147147147147147,0.692,0.4959349593495935,4,0.692
17,0.6938122684891159,0.5291291291291291,0.692,0.4959349593495935,4,0.692
18,0.692861077735374,0.5291291291291291,0.692,0.4932249322493225,4,0.692
19,0.6939299473175415,0.518918918918919,0.692,0.4986449864498645,4,0.692
20,0.692749259958754,0.5168168168168168,0.691,0.4986449864498645,20,0.691
21,0.6927622986985399,0.5153153153153153,0.691,0.5040650406504065,20,0.691
22,0.6952780372029668,0.5048048048048048,0.693,0.4932249322493225,20,0.691
23,0.6929184512333111,0.5168168168168168,0.691,0.5094850948509485,20,0.691
24,0.693362689233041,0.5219219219219219,0.693,0.4986449864498645,20,0.691
