Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.6902292787639144,0.49673202614379086,0.642,0.625,0,0.642
1,0.6213172678074805,0.673202614379085,0.636,0.75,1,0.636
2,0.6448768311076694,0.6405228758169934,0.596,0.6875,2,0.596
3,0.607910818134258,0.6666666666666666,0.581,0.75,3,0.581
4,0.5904667159311132,0.673202614379085,0.558,0.6875,4,0.558
5,0.5927274651776732,0.6405228758169934,0.536,0.75,5,0.536
6,0.5797457449576434,0.6405228758169934,0.501,0.6875,6,0.501
7,0.5593453076929827,0.6666666666666666,0.485,0.8125,7,0.485
8,0.5569755851832869,0.6601307189542484,0.462,0.8125,8,0.462
9,0.5401096305036857,0.6862745098039216,0.433,0.875,9,0.433
10,0.5270988929505441,0.738562091503268,0.419,0.8125,10,0.419
11,0.5276356803046333,0.7581699346405228,0.392,0.875,11,0.392
12,0.5110916144707623,0.7712418300653595,0.387,0.875,12,0.387
13,0.5170221371588364,0.7843137254901961,0.372,0.875,13,0.372
14,0.5017344137422399,0.7777777777777778,0.372,0.875,13,0.372
15,0.5067503976276497,0.7777777777777778,0.366,0.875,15,0.366
16,0.49295007676080943,0.7777777777777778,0.368,0.875,15,0.366
17,0.4930911535531088,0.7843137254901961,0.37,0.875,15,0.366
18,0.48541517273273344,0.7843137254901961,0.368,0.875,15,0.366
19,0.4776069486842436,0.7777777777777778,0.367,0.875,15,0.366
20,0.47629950541296817,0.7843137254901961,0.364,0.875,20,0.364
21,0.46625836690266925,0.7777777777777778,0.363,0.875,21,0.363
22,0.4638247910667868,0.7777777777777778,0.358,0.875,22,0.358
23,0.45206089210666084,0.7777777777777778,0.356,0.875,23,0.356
24,0.4538068642803267,0.7908496732026143,0.357,0.875,23,0.356
25,0.43723729895610436,0.7843137254901961,0.361,0.875,23,0.356
26,0.43848782544042547,0.803921568627451,0.358,0.875,23,0.356
27,0.4194004333097171,0.8104575163398693,0.374,0.875,23,0.356
28,0.41943730404174406,0.8104575163398693,0.375,0.875,23,0.356
29,0.4025028807665008,0.8496732026143791,0.38,0.875,23,0.356
30,0.3933526850214191,0.8431372549019608,0.404,0.875,23,0.356
31,0.39487556402200186,0.8300653594771242,0.381,0.875,23,0.356
32,0.3668881981980567,0.8627450980392157,0.422,0.875,23,0.356
33,0.37138412844121843,0.8562091503267973,0.439,0.875,23,0.356
34,0.36811281107609567,0.8496732026143791,0.421,0.875,23,0.356
35,0.33320775180081136,0.8627450980392157,0.475,0.875,23,0.356
36,0.34002162506377775,0.8888888888888888,0.476,0.875,23,0.356
37,0.3368750802831712,0.8823529411764706,0.466,0.875,23,0.356
38,0.3090122942051856,0.869281045751634,0.493,0.875,23,0.356
39,0.3322891797505173,0.8888888888888888,0.549,0.875,23,0.356
40,0.32919178795970344,0.8627450980392157,0.44,0.8125,23,0.356
41,0.3031975282173531,0.8366013071895425,0.551,0.8125,23,0.356
42,0.3494478692026699,0.9019607843137255,0.515,0.8125,23,0.356
43,0.3020813659904829,0.8627450980392157,0.495,0.875,23,0.356
44,0.32085177477668314,0.9019607843137255,0.543,0.875,23,0.356
45,0.2908604053500431,0.8823529411764706,0.552,0.875,23,0.356
46,0.3393433505024006,0.869281045751634,0.625,0.875,23,0.356
47,0.3048562703568951,0.8823529411764706,0.403,0.875,23,0.356
48,0.32918273623472727,0.8888888888888888,0.422,0.875,23,0.356
49,0.28948136053833307,0.9019607843137255,0.54,0.875,23,0.356
50,0.2816411079534518,0.8823529411764706,0.445,0.875,23,0.356
51,0.26178868416867224,0.8888888888888888,0.465,0.875,23,0.356
52,0.26189196343515436,0.9084967320261438,0.528,0.875,23,0.356
53,0.2523053785165151,0.9150326797385621,0.517,0.875,23,0.356
54,0.24728358181473475,0.9215686274509803,0.509,0.875,23,0.356
55,0.24960719604118198,0.9215686274509803,0.495,0.875,23,0.356
56,0.23645251989364624,0.9281045751633987,0.486,0.875,23,0.356
57,0.24323331491619932,0.9281045751633987,0.474,0.875,23,0.356
58,0.23558904513034945,0.9281045751633987,0.509,0.875,23,0.356
59,0.2358524267579995,0.9281045751633987,0.494,0.875,23,0.356
60,0.22826781420925862,0.9281045751633987,0.514,0.875,23,0.356
61,0.2305242119271771,0.9281045751633987,0.535,0.875,23,0.356
62,0.22209875490151199,0.9281045751633987,0.527,0.8125,23,0.356
63,0.22798065227620742,0.934640522875817,0.541,0.875,23,0.356
64,0.22179032131737353,0.9281045751633987,0.531,0.875,23,0.356
65,0.2250616114123974,0.9281045751633987,0.554,0.8125,23,0.356
66,0.2192178411421433,0.934640522875817,0.546,0.875,23,0.356
67,0.22176013468137754,0.934640522875817,0.556,0.875,23,0.356
68,0.2191404673009137,0.9281045751633987,0.57,0.8125,23,0.356
69,0.21814752482121286,0.934640522875817,0.574,0.8125,23,0.356
70,0.2199324285672381,0.934640522875817,0.564,0.875,23,0.356
71,0.216283158344381,0.9281045751633987,0.595,0.8125,23,0.356
72,0.21840754112387015,0.934640522875817,0.598,0.8125,23,0.356
73,0.20983853585579815,0.934640522875817,0.578,0.875,23,0.356
74,0.21833655861468096,0.9281045751633987,0.613,0.8125,23,0.356
75,0.2099883342100904,0.934640522875817,0.593,0.875,23,0.356
76,0.2206782842773238,0.9084967320261438,0.625,0.8125,23,0.356
77,0.20919138660617903,0.934640522875817,0.58,0.8125,23,0.356
78,0.21373960161520764,0.934640522875817,0.614,0.8125,23,0.356
79,0.21363209197723787,0.934640522875817,0.611,0.875,23,0.356
80,0.2069024809824875,0.934640522875817,0.633,0.8125,23,0.356
81,0.21409771703427133,0.934640522875817,0.634,0.8125,23,0.356
82,0.20702127479260263,0.934640522875817,0.611,0.8125,23,0.356
83,0.2105699522432938,0.934640522875817,0.644,0.8125,23,0.356
84,0.20495326612509934,0.934640522875817,0.631,0.875,23,0.356
85,0.21344166487650154,0.9019607843137255,0.647,0.875,23,0.356
86,0.20254762694726583,0.9281045751633987,0.626,0.8125,23,0.356
87,0.20906918831900054,0.934640522875817,0.674,0.8125,23,0.356
88,0.20754003329993853,0.934640522875817,0.6,0.875,23,0.356
89,0.204727156879076,0.9281045751633987,0.697,0.8125,23,0.356
90,0.21058356333402248,0.934640522875817,0.66,0.75,23,0.356
91,0.20813257398169024,0.9150326797385621,0.65,0.875,23,0.356
92,0.20458192626635233,0.934640522875817,0.655,0.8125,23,0.356
93,0.20576121662956437,0.934640522875817,0.683,0.8125,23,0.356
94,0.19990304872101428,0.934640522875817,0.658,0.8125,23,0.356
95,0.20764539035317164,0.934640522875817,0.677,0.8125,23,0.356
96,0.2025738578606275,0.934640522875817,0.665,0.8125,23,0.356
97,0.19898374154676798,0.934640522875817,0.678,0.8125,23,0.356
98,0.20446691189716065,0.934640522875817,0.637,0.8125,23,0.356
99,0.20028670862609266,0.9019607843137255,0.722,0.8125,23,0.356
100,0.20818905853757672,0.934640522875817,0.652,0.75,23,0.356
101,0.19103414755241543,0.9150326797385621,0.695,0.875,23,0.356
102,0.2059270601257,0.9084967320261438,0.657,0.8125,23,0.356
103,0.19214244683583578,0.934640522875817,0.677,0.8125,23,0.356
