Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6907691554980235,0.5231231231231231,0.708,0.5094850948509485,0,0.708
1,0.6843540174109084,0.5669669669669669,0.74,0.5121951219512195,0,0.708
2,0.6804120776889561,0.5606606606606607,0.672,0.6151761517615176,2,0.672
3,0.6658850408889152,0.5906906906906907,0.665,0.6233062330623306,3,0.665
4,0.6698160533790474,0.5915915915915916,0.636,0.6260162601626016,4,0.636
5,0.6552671225937279,0.6012012012012012,0.634,0.6422764227642277,5,0.634
6,0.6447562802303303,0.6195195195195196,0.643,0.6449864498644986,5,0.634
7,0.6478266359270514,0.612012012012012,0.626,0.6395663956639567,7,0.626
8,0.6459480866834566,0.6213213213213213,0.602,0.6612466124661247,8,0.602
9,0.627437056614472,0.6438438438438439,0.618,0.6585365853658537,8,0.602
10,0.6204871578259511,0.6426426426426426,0.765,0.5691056910569106,8,0.602
11,0.612121761131573,0.6492492492492492,0.638,0.6666666666666666,8,0.602
12,0.6012325921216168,0.669069069069069,0.729,0.6097560975609756,8,0.602
13,0.6113720023775244,0.6627627627627628,0.657,0.6314363143631436,8,0.602
14,0.6012376837812744,0.6654654654654655,0.627,0.6747967479674797,8,0.602
15,0.5928837727408509,0.6771771771771772,0.636,0.6775067750677507,8,0.602
16,0.5869708298204898,0.6852852852852853,0.627,0.6666666666666666,8,0.602
17,0.589625392012947,0.6804804804804805,0.613,0.6856368563685636,8,0.602
18,0.5731690704196065,0.6918918918918919,0.568,0.7100271002710027,18,0.568
19,0.5676930431041631,0.7072072072072072,0.568,0.7181571815718157,18,0.568
20,0.5665375229608905,0.6990990990990991,0.595,0.7181571815718157,18,0.568
21,0.5654147232616986,0.7015015015015015,0.587,0.6964769647696477,18,0.568
22,0.5598194033354968,0.6993993993993994,0.581,0.7235772357723578,18,0.568
23,0.5555153334910448,0.7075075075075075,0.596,0.6802168021680217,18,0.568
24,0.5473391090516929,0.712012012012012,0.599,0.7073170731707317,18,0.568
25,0.5574601283257788,0.7033033033033033,0.605,0.7073170731707317,18,0.568
26,0.5505863385112794,0.7117117117117117,0.576,0.7127371273712737,18,0.568
27,0.5433473375645486,0.7195195195195195,0.568,0.7235772357723578,18,0.568
28,0.5383483461610548,0.7195195195195195,0.566,0.7154471544715447,28,0.566
29,0.5408381961487435,0.7207207207207207,0.582,0.7046070460704607,28,0.566
30,0.5339234988789658,0.7237237237237237,0.58,0.7154471544715447,28,0.566
31,0.5331473241160224,0.724024024024024,0.601,0.7100271002710027,28,0.566
