Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.6979695254681157,0.5163398692810458,0.565,0.75,0,0.565
1,0.6281757370319242,0.6470588235294118,0.536,0.75,1,0.536
2,0.608000961004519,0.6470588235294118,0.525,0.75,2,0.525
3,0.5629298975265103,0.7058823529411765,0.455,0.75,3,0.455
4,0.5269460639143302,0.7189542483660131,0.452,0.8125,4,0.452
5,0.6009982442544177,0.7189542483660131,0.444,0.75,5,0.444
6,0.48715877844617256,0.8169934640522876,0.512,0.6875,5,0.444
7,0.51237751183167,0.7516339869281046,0.465,0.75,5,0.444
8,0.5326937659114015,0.7450980392156863,0.46,0.8125,5,0.444
9,0.4701618778160195,0.8104575163398693,0.498,0.75,5,0.444
10,0.47808705903346244,0.7908496732026143,0.448,0.8125,5,0.444
11,0.4618936987484203,0.7843137254901961,0.534,0.875,5,0.444
12,0.4772045538316365,0.7777777777777778,0.434,0.8125,12,0.434
13,0.43683769967820907,0.803921568627451,0.488,0.875,12,0.434
14,0.438620277869156,0.8235294117647058,0.422,0.8125,14,0.422
15,0.4072299646396263,0.8300653594771242,0.452,0.75,14,0.422
16,0.40454784366819596,0.8169934640522876,0.41,0.8125,16,0.41
17,0.38247476177277906,0.869281045751634,0.438,0.9375,16,0.41
18,0.3936734176149555,0.8627450980392157,0.408,0.8125,18,0.408
19,0.3606316525172564,0.8496732026143791,0.428,0.9375,18,0.408
20,0.38936391336465975,0.8431372549019608,0.406,0.8125,20,0.406
21,0.35866531671262253,0.8496732026143791,0.407,0.8125,20,0.406
22,0.36933813920987196,0.8562091503267973,0.427,0.9375,20,0.406
23,0.3738797735544591,0.8627450980392157,0.403,0.8125,23,0.403
24,0.350761464608261,0.8562091503267973,0.408,0.8125,23,0.403
25,0.36845068214765564,0.8562091503267973,0.414,0.9375,23,0.403
26,0.3641183126985637,0.869281045751634,0.397,0.8125,26,0.397
27,0.34686269265374325,0.869281045751634,0.402,0.8125,26,0.397
28,0.3634044676045187,0.8627450980392157,0.407,0.9375,26,0.397
29,0.3616781523025114,0.869281045751634,0.384,0.8125,29,0.384
30,0.3429599147216946,0.869281045751634,0.387,0.8125,29,0.384
31,0.35506892457507017,0.8627450980392157,0.401,0.9375,29,0.384
32,0.3658021010604559,0.8627450980392157,0.375,0.8125,32,0.375
33,0.3425304759172053,0.869281045751634,0.376,0.8125,32,0.375
34,0.34290890678081637,0.869281045751634,0.387,0.9375,32,0.375
35,0.35818667544258964,0.8562091503267973,0.374,0.9375,35,0.374
36,0.34524840720338756,0.8627450980392157,0.356,0.8125,36,0.356
37,0.3328894209238439,0.869281045751634,0.36,0.9375,36,0.356
