Fold,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
1,0,0.6880844988321003,0.48026315789473684,0.697080135345459,0.2777777777777778,9999,0
1,1,0.684640718133826,0.5197368421052632,0.6613304615020752,0.8888888888888888,9999,0
1,2,0.6667661635499251,0.7236842105263158,0.6102162599563599,0.8888888888888888,9999,0
1,3,0.6440022587776184,0.7302631578947368,0.5597044229507446,0.7777777777777778,9999,0
1,4,0.6218348051372328,0.7039473684210527,0.511335015296936,0.7777777777777778,9999,0
1,5,0.5973027568114432,0.6973684210526315,0.4627879559993744,0.8888888888888888,9999,0
1,6,0.5677881240844727,0.7368421052631579,0.4131731390953064,0.9444444444444444,9999,0
1,7,0.5502935867560538,0.7697368421052632,0.36301225423812866,0.9444444444444444,9999,0
1,8,0.517667227669766,0.8026315789473685,0.30577120184898376,0.9444444444444444,9999,0
1,9,0.4939106200870715,0.7828947368421053,0.2688697576522827,1.0,9999,0
1,10,0.46465661023792465,0.8157894736842105,0.2618211507797241,1.0,9999,0
1,11,0.46630972466970744,0.8092105263157895,0.21252629160881042,1.0,9999,0
1,12,0.4250381996757106,0.8223684210526315,0.18098115921020508,1.0,9999,0
1,13,0.44852105096766826,0.7960526315789473,0.16914156079292297,1.0,9999,0
1,14,0.42121766586052745,0.8223684210526315,0.1830763816833496,1.0,9999,0
1,15,0.41616299121003403,0.8421052631578947,0.14385925233364105,1.0,9999,0
1,16,0.4128386409659135,0.8223684210526315,0.14186295866966248,1.0,9999,0
1,17,0.43291290182816355,0.8092105263157895,0.13306456804275513,1.0,9999,0
1,18,0.4145997746994621,0.8157894736842105,0.17762446403503418,1.0,9999,0
1,19,0.40386699218499034,0.8355263157894737,0.16168314218521118,1.0,9999,0
1,20,0.4148616022185275,0.8157894736842105,0.13439366221427917,1.0,9999,0
1,21,0.39816871599147197,0.8355263157894737,0.12307021021842957,1.0,9999,0
1,22,0.40442728839422526,0.8486842105263158,0.12026385217905045,0.9444444444444444,9999,0
1,23,0.40629284162270396,0.8157894736842105,0.12706495821475983,1.0,9999,0
1,24,0.384948110894153,0.8355263157894737,0.15514391660690308,1.0,9999,0
1,25,0.39612386728587906,0.8421052631578947,0.16338762640953064,1.0,9999,0
1,26,0.38480597734451294,0.8421052631578947,0.14221107959747314,0.9444444444444444,9999,0
1,27,0.38784588010687576,0.8421052631578947,0.13468670845031738,0.9444444444444444,9999,0
1,28,0.3973437139862462,0.8157894736842105,0.13983111083507538,0.9444444444444444,9999,0
1,29,0.38230384023565994,0.8486842105263158,0.16876214742660522,1.0,9999,0
1,30,0.40523981106908696,0.8289473684210527,0.17487019300460815,1.0,9999,0
1,31,0.4017184721796136,0.8026315789473685,0.17373818159103394,0.9444444444444444,9999,0
1,32,0.39231524969402115,0.8421052631578947,0.1684623807668686,0.9444444444444444,9999,0
1,33,0.38565393968632344,0.8157894736842105,0.12013541162014008,1.0,9999,0
1,34,0.40328777306958247,0.8355263157894737,0.11121620237827301,0.9444444444444444,9999,0
1,35,0.395706339886314,0.8355263157894737,0.1341276317834854,1.0,9999,0
1,36,0.3799621619676289,0.8421052631578947,0.1757390797138214,1.0,9999,0
1,37,0.3799801900198585,0.8289473684210527,0.13670915365219116,1.0,9999,0
1,38,0.39849009011921127,0.8223684210526315,0.1111568734049797,1.0,9999,0
1,39,0.38551266883548935,0.8355263157894737,0.12555791437625885,1.0,9999,0
1,40,0.35029002239829615,0.8618421052631579,0.2916468381881714,0.8888888888888888,9999,0
1,41,0.45830763327447993,0.7763157894736842,0.21806544065475464,0.8888888888888888,9999,0
1,42,0.40626577248698786,0.8092105263157895,0.1057496964931488,1.0,9999,0
1,43,0.40732479409167643,0.8355263157894737,0.10878083854913712,0.9444444444444444,9999,0
1,44,0.4405619847147088,0.8157894736842105,0.11084224283695221,0.9444444444444444,9999,0
1,45,0.4099690545546381,0.8421052631578947,0.14286141097545624,1.0,9999,0
1,46,0.3942608111783078,0.8355263157894737,0.1932975798845291,1.0,9999,0
1,47,0.40827430706275136,0.8026315789473685,0.19195175170898438,1.0,9999,0
1,48,0.3931724648726614,0.8355263157894737,0.15232887864112854,1.0,9999,0
1,49,0.3802879311536488,0.8355263157894737,0.142500102519989,0.9444444444444444,9999,0
1,50,0.3907236849006854,0.8289473684210527,0.14773325622081757,1.0,9999,0
1,51,0.3981128178144756,0.8421052631578947,0.17218586802482605,1.0,9999,0
1,52,0.3926798607173719,0.8157894736842105,0.1638575941324234,1.0,9999,0
1,53,0.38094682756223175,0.8289473684210527,0.1270560473203659,1.0,9999,0
1,54,0.3810336746667561,0.8618421052631579,0.11923648416996002,0.9444444444444444,9999,0
1,55,0.38896488123818446,0.8421052631578947,0.1248500645160675,1.0,9999,0
1,56,0.38333591191392197,0.8289473684210527,0.13287827372550964,1.0,9999,0
1,57,0.3598348419917257,0.8618421052631579,0.1498829424381256,1.0,9999,0
1,58,0.3817744615830873,0.8486842105263158,0.1536111831665039,1.0,9999,0
1,59,0.39109040483048085,0.8223684210526315,0.12786713242530823,1.0,9999,0
1,60,0.3881295354742753,0.8355263157894737,0.09693863242864609,1.0,9999,0
1,61,0.3868818455620816,0.8421052631578947,0.089142806828022,1.0,9999,0
1,62,0.39542701526692037,0.8289473684210527,0.08991488814353943,1.0,9999,0
1,63,0.3993911241230212,0.8355263157894737,0.11209526658058167,1.0,9999,0
1,64,0.3735652707125011,0.8421052631578947,0.14947104454040527,1.0,9999,0
1,65,0.38525324589327764,0.8421052631578947,0.15216517448425293,1.0,9999,0
1,66,0.3687624931335449,0.8552631578947368,0.10298427194356918,1.0,9999,0
1,67,0.3792418265029004,0.8486842105263158,0.09193374961614609,0.9444444444444444,9999,0
1,68,0.41462215389076035,0.8223684210526315,0.09212206304073334,0.9444444444444444,9999,0
1,69,0.4293623425458607,0.8223684210526315,0.09633739292621613,1.0,9999,0
1,70,0.3881114831096248,0.8355263157894737,0.1348871886730194,1.0,9999,0
1,71,0.39776334950798437,0.8289473684210527,0.11122345924377441,1.0,9999,0
1,72,0.3746313170382851,0.8421052631578947,0.09680750966072083,1.0,9999,0
1,73,0.3753081732674649,0.8355263157894737,0.10623303055763245,1.0,9999,0
1,74,0.3725493926750986,0.8421052631578947,0.12978564202785492,1.0,9999,0
1,75,0.3815356775334007,0.8486842105263158,0.12945474684238434,1.0,9999,0
1,76,0.3702299783104344,0.8486842105263158,0.11323577910661697,1.0,9999,0
1,77,0.38005341981586654,0.8355263157894737,0.11397853493690491,1.0,9999,0
1,78,0.37992065360671595,0.8289473684210527,0.11975982785224915,0.9444444444444444,9999,0
1,79,0.3905592215688605,0.8355263157894737,0.12865272164344788,1.0,9999,0
1,80,0.3869667319875014,0.8289473684210527,0.16060009598731995,1.0,9999,0
1,81,0.38881306271804006,0.8421052631578947,0.19737112522125244,1.0,9999,0
1,82,0.4023352218301673,0.8223684210526315,0.16713471710681915,1.0,9999,0
1,83,0.3852024439134096,0.8289473684210527,0.1383019983768463,0.9444444444444444,9999,0
1,84,0.3803118624185261,0.8355263157894737,0.13401387631893158,0.9444444444444444,9999,0
1,85,0.3866642133185738,0.8289473684210527,0.1420023888349533,0.9444444444444444,9999,0
1,86,0.3795282660346282,0.8486842105263158,0.15290245413780212,1.0,9999,0
1,87,0.37696125789692525,0.8618421052631579,0.16507211327552795,1.0,9999,0
1,88,0.3921128856508355,0.8355263157894737,0.18280905485153198,1.0,9999,0
1,89,0.38261023085368306,0.8289473684210527,0.17668507993221283,1.0,9999,0
1,90,0.382914380023354,0.7960526315789473,0.12794753909111023,1.0,9999,0
1,91,0.37247687891909953,0.8421052631578947,0.10300758481025696,0.9444444444444444,9999,0
1,92,0.39005554349798904,0.8355263157894737,0.09951379150152206,0.9444444444444444,9999,0
1,93,0.39860253898720993,0.8289473684210527,0.10260062664747238,1.0,9999,0
1,94,0.37659585946484614,0.8421052631578947,0.11233291029930115,1.0,9999,0
1,95,0.3812868791191201,0.8421052631578947,0.11751168221235275,1.0,9999,0
1,96,0.369980840306533,0.8486842105263158,0.11358372122049332,1.0,9999,0
1,97,0.36967095418980245,0.8355263157894737,0.1044941246509552,1.0,9999,0
1,98,0.378125073094117,0.8421052631578947,0.09593813866376877,1.0,9999,0
1,99,0.3749908114734449,0.8421052631578947,0.09959055483341217,1.0,9999,0
1,100,0.3742927955953698,0.8421052631578947,0.1338111311197281,1.0,9999,0
1,101,0.39708971349816574,0.8157894736842105,0.17338092625141144,0.9444444444444444,9999,0
1,102,0.3740679872663398,0.8355263157894737,0.1528354436159134,1.0,9999,0
1,103,0.3870593897606197,0.8355263157894737,0.12823191285133362,1.0,9999,0
1,104,0.3728512949065158,0.8223684210526315,0.11711164563894272,1.0,9999,0
