Fold,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
1,0,0.6852363905460714,0.5755395683453237,0.6862584352493286,0.53125,9999,0
1,1,0.6781344293690413,0.5827338129496403,0.6844830513000488,0.53125,9999,0
1,2,0.6831955292242037,0.5467625899280576,0.6771436929702759,0.5625,9999,0
1,3,0.670349916537031,0.5935251798561151,0.6817057728767395,0.5625,9999,0
1,4,0.6694784473172195,0.5935251798561151,0.7002996802330017,0.53125,9999,0
1,5,0.6672131359148369,0.5935251798561151,0.7035843133926392,0.53125,9999,0
1,6,0.6639835761605407,0.5935251798561151,0.6929429769515991,0.53125,9999,0
1,7,0.6656155774919249,0.5935251798561151,0.6958075761795044,0.53125,9999,0
1,8,0.6647097039565766,0.5935251798561151,0.6943897604942322,0.53125,9999,0
1,9,0.6631881504607715,0.5935251798561151,0.7036382555961609,0.53125,9999,0
1,10,0.6611824138559026,0.5935251798561151,0.7252678275108337,0.5,9999,0
1,11,0.6558912113416109,0.60431654676259,0.7369191646575928,0.5,9999,0
1,12,0.6605181200898809,0.60431654676259,0.8213086724281311,0.5,9999,0
1,13,0.6998052395505013,0.5827338129496403,0.7179154753684998,0.5,9999,0
1,14,0.6677965620438829,0.60431654676259,0.713464081287384,0.5,9999,0
1,15,0.6660093146262409,0.60431654676259,0.7374019622802734,0.5,9999,0
1,16,0.6612681883702175,0.60431654676259,0.7181111574172974,0.53125,9999,0
1,17,0.6600489097533466,0.6007194244604317,0.7413044571876526,0.5,9999,0
1,18,0.6617994522876877,0.60431654676259,0.7235674858093262,0.5,9999,0
1,19,0.6587713073483474,0.60431654676259,0.7383043766021729,0.5,9999,0
1,20,0.6561701567910558,0.6079136690647482,0.7647188901901245,0.5,9999,0
1,21,0.6540970180532057,0.6079136690647482,0.7799638509750366,0.5,9999,0
1,22,0.6512804927585794,0.6115107913669064,0.771509051322937,0.5,9999,0
1,23,0.6485587126917118,0.6151079136690647,0.7620545029640198,0.5,9999,0
1,24,0.6498673862690548,0.6115107913669064,0.7598469853401184,0.5,9999,0
1,25,0.6454923954799021,0.6151079136690647,0.7721163034439087,0.5,9999,0
1,26,0.6459096614405405,0.6187050359712231,0.7806318998336792,0.53125,9999,0
1,27,0.6500019696976641,0.6115107913669064,0.7503198385238647,0.53125,9999,0
1,28,0.6539566628366923,0.6079136690647482,0.6918041706085205,0.5625,9999,0
1,29,0.6550393709175878,0.60431654676259,0.6994028091430664,0.5625,9999,0
1,30,0.656633854341164,0.6079136690647482,0.682485818862915,0.5625,9999,0
1,31,0.6492443492086671,0.6079136690647482,0.6555658578872681,0.5625,9999,0
1,32,0.6606641180223698,0.6115107913669064,0.6964247226715088,0.5,9999,0
1,33,0.6514290069504608,0.6187050359712231,0.7066524028778076,0.5,9999,0
1,34,0.6517436144163282,0.6223021582733813,0.7247077822685242,0.53125,9999,0
1,35,0.6420908664627899,0.6258992805755396,0.7455487251281738,0.53125,9999,0
