Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6917921594671301,0.5285285285285285,0.693,0.4986449864498645,0,0.693
1,0.6825895426867602,0.5492492492492492,0.701,0.5067750677506775,0,0.693
2,0.6740134909704283,0.5720720720720721,0.652,0.6016260162601627,2,0.652
3,0.6604901367121631,0.5876876876876876,0.676,0.5392953929539296,2,0.652
4,0.6492086246206954,0.6144144144144145,0.754,0.5121951219512195,2,0.652
5,0.6515598060848476,0.6096096096096096,0.669,0.5582655826558266,2,0.652
6,0.6380621764036987,0.6315315315315315,0.792,0.5013550135501355,2,0.652
7,0.6538076428142754,0.612012012012012,0.622,0.6775067750677507,7,0.622
8,0.6202294322105499,0.6477477477477478,0.781,0.5067750677506775,7,0.622
9,0.6248472977328945,0.6459459459459459,0.63,0.6585365853658537,7,0.622
10,0.6000997573405773,0.6666666666666666,0.771,0.5609756097560976,7,0.622
11,0.6040723330086774,0.6630630630630631,0.654,0.6287262872628726,7,0.622
12,0.5937581905373582,0.6723723723723724,0.603,0.6910569105691057,12,0.603
13,0.58938090421774,0.6726726726726727,0.671,0.6233062330623306,12,0.603
14,0.580808538502759,0.6870870870870871,0.624,0.6720867208672087,12,0.603
15,0.5765679534849104,0.690990990990991,0.598,0.6991869918699187,15,0.598
16,0.5715008886726769,0.6930930930930931,0.622,0.6747967479674797,15,0.598
17,0.5654843167141751,0.6948948948948949,0.637,0.6910569105691057,15,0.598
18,0.5666505445052196,0.6987987987987988,0.642,0.6612466124661247,15,0.598
19,0.5618086874843001,0.6984984984984985,0.626,0.6910569105691057,15,0.598
20,0.5596771349420061,0.7063063063063063,0.61,0.6910569105691057,15,0.598
21,0.5600483116444883,0.7084084084084085,0.603,0.6991869918699187,15,0.598
22,0.554892561296085,0.7075075075075075,0.599,0.6802168021680217,15,0.598
23,0.551149002209798,0.709009009009009,0.589,0.6829268292682927,23,0.589
24,0.5456676946745979,0.7117117117117117,0.596,0.6910569105691057,23,0.589
25,0.5475170533220332,0.7135135135135136,0.605,0.6856368563685636,23,0.589
26,0.5410701096236885,0.7153153153153153,0.602,0.6910569105691057,23,0.589
27,0.5400013535946339,0.7144144144144144,0.587,0.6937669376693767,27,0.587
28,0.5420872507152614,0.7141141141141141,0.596,0.6829268292682927,27,0.587
29,0.5371615682636295,0.724024024024024,0.583,0.6964769647696477,29,0.583
30,0.5349802532711545,0.721921921921922,0.595,0.7127371273712737,29,0.583
31,0.5306797300731098,0.7252252252252253,0.611,0.6856368563685636,29,0.583
32,0.5291591143822885,0.7258258258258258,0.626,0.6775067750677507,29,0.583
33,0.5294455524679419,0.7249249249249249,0.585,0.6802168021680217,29,0.583
34,0.5259583682269305,0.7321321321321321,0.585,0.6883468834688347,29,0.583
35,0.5220771345827314,0.7294294294294295,0.57,0.6964769647696477,35,0.57
36,0.5206138029470816,0.7312312312312312,0.573,0.7046070460704607,35,0.57
