Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.699326424037709,0.49673202614379086,0.651,0.625,0,0.651
1,0.6379821534250297,0.6405228758169934,0.653,0.625,0,0.651
2,0.6432094453207029,0.6405228758169934,0.647,0.625,2,0.647
3,0.6317770262948827,0.6405228758169934,0.639,0.625,3,0.639
4,0.6120510101318359,0.6601307189542484,0.629,0.625,4,0.629
5,0.5898015982185314,0.6666666666666666,0.617,0.6875,5,0.617
6,0.5638756619559394,0.7189542483660131,0.625,0.625,5,0.617
7,0.5454082524075228,0.7320261437908496,0.631,0.625,5,0.617
8,0.551301616079667,0.7189542483660131,0.651,0.625,5,0.617
9,0.5398317719596664,0.738562091503268,0.599,0.625,9,0.599
10,0.5362385491919673,0.738562091503268,0.598,0.6875,10,0.598
11,0.5182566728467256,0.7450980392156863,0.575,0.6875,11,0.575
12,0.5159147054541344,0.7516339869281046,0.574,0.6875,12,0.574
13,0.49917644028570135,0.7320261437908496,0.547,0.625,13,0.547
14,0.502326589394239,0.7712418300653595,0.565,0.6875,13,0.547
15,0.4864356040565017,0.7777777777777778,0.531,0.75,15,0.531
16,0.48192352816170336,0.7908496732026143,0.514,0.75,16,0.514
17,0.4907645672754525,0.7908496732026143,0.544,0.6875,16,0.514
18,0.47688380662911856,0.7908496732026143,0.52,0.75,16,0.514
19,0.4549952564286251,0.7908496732026143,0.481,0.8125,19,0.481
20,0.4712703699379965,0.7973856209150327,0.479,0.8125,20,0.479
21,0.4699023852940478,0.803921568627451,0.5,0.6875,20,0.479
22,0.43736360723676243,0.803921568627451,0.455,0.8125,22,0.455
23,0.44650620124698465,0.7973856209150327,0.441,0.8125,23,0.441
24,0.46380017045276617,0.8104575163398693,0.477,0.75,23,0.441
25,0.43572742584484075,0.8235294117647058,0.433,0.875,25,0.433
26,0.4256106998795777,0.8104575163398693,0.428,0.8125,26,0.428
27,0.44612061042411655,0.8169934640522876,0.422,0.8125,27,0.422
28,0.4429514256178164,0.7908496732026143,0.426,0.75,27,0.422
29,0.41145459538191753,0.8104575163398693,0.412,0.8125,29,0.412
30,0.4243526034105837,0.8235294117647058,0.399,0.8125,30,0.399
31,0.4384734293604209,0.8104575163398693,0.414,0.75,30,0.399
32,0.41373806510096284,0.8169934640522876,0.395,0.875,32,0.395
33,0.40118231103311175,0.8300653594771242,0.394,0.875,33,0.394
34,0.4228466823210124,0.8235294117647058,0.388,0.875,34,0.388
35,0.41661038936353195,0.8169934640522876,0.39,0.8125,34,0.388
36,0.3907052101263034,0.8169934640522876,0.393,0.875,34,0.388
37,0.4009176695268918,0.8300653594771242,0.379,0.9375,37,0.379
38,0.4188155506561005,0.8169934640522876,0.391,0.8125,37,0.379
39,0.4011600358423844,0.8235294117647058,0.383,0.875,37,0.379
40,0.3865913485779482,0.8104575163398693,0.402,0.875,37,0.379
41,0.40244978880570603,0.8366013071895425,0.373,0.8125,41,0.373
42,0.41056399096071333,0.7973856209150327,0.379,0.8125,41,0.373
43,0.3782176786388447,0.803921568627451,0.376,0.9375,41,0.373
44,0.39255404024342305,0.8235294117647058,0.372,0.8125,44,0.372
45,0.3929331988291024,0.8235294117647058,0.371,0.875,45,0.371
46,0.3737863701542998,0.8300653594771242,0.379,0.875,45,0.371
47,0.38359590994766335,0.8431372549019608,0.356,0.9375,47,0.356
48,0.3991866006570704,0.803921568627451,0.376,0.8125,47,0.356
49,0.3798793710135167,0.8366013071895425,0.372,0.9375,47,0.356
50,0.35966065896102806,0.8235294117647058,0.368,0.8125,47,0.356
51,0.35202712852970447,0.8627450980392157,0.368,0.9375,47,0.356
52,0.35535988620683256,0.8627450980392157,0.34,0.8125,52,0.34
53,0.34560074720507356,0.869281045751634,0.373,0.8125,52,0.34
54,0.3579908817811729,0.8496732026143791,0.354,0.8125,52,0.34
55,0.34563260199197754,0.8627450980392157,0.401,0.8125,52,0.34
56,0.36959141278578567,0.8366013071895425,0.359,0.8125,52,0.34
57,0.3519679430653067,0.8562091503267973,0.396,0.8125,52,0.34
58,0.3634023748192133,0.8431372549019608,0.384,0.8125,52,0.34
59,0.3439103359100865,0.869281045751634,0.423,0.8125,52,0.34
60,0.3765703716309242,0.8431372549019608,0.415,0.75,52,0.34
61,0.3446543458240484,0.8562091503267973,0.399,0.875,52,0.34
62,0.36762873779714494,0.8496732026143791,0.365,0.8125,52,0.34
63,0.3333328428611257,0.8496732026143791,0.352,0.9375,52,0.34
64,0.34333595380284426,0.8562091503267973,0.331,0.875,64,0.331
65,0.3219622059974795,0.8627450980392157,0.331,0.9375,64,0.331
66,0.32903825301750034,0.8758169934640523,0.324,0.9375,66,0.324
67,0.3176206973643085,0.8758169934640523,0.33,0.9375,66,0.324
68,0.3205458946477354,0.8758169934640523,0.322,0.9375,68,0.322
69,0.31434331746662364,0.8823529411764706,0.327,0.9375,68,0.322
70,0.3156595146344378,0.8758169934640523,0.326,0.9375,68,0.322
71,0.31426167994542836,0.8823529411764706,0.325,0.9375,68,0.322
72,0.3116798521646487,0.8758169934640523,0.325,0.9375,68,0.322
73,0.309772527490566,0.8758169934640523,0.324,0.9375,68,0.322
74,0.30883918946085415,0.8758169934640523,0.322,0.9375,68,0.322
75,0.30954738574869495,0.8758169934640523,0.31,0.9375,75,0.31
76,0.3014184495592429,0.8888888888888888,0.318,0.9375,75,0.31
77,0.3043208889711916,0.8758169934640523,0.34,0.875,75,0.31
78,0.3146134776617187,0.869281045751634,0.306,0.9375,78,0.306
79,0.30057645545286293,0.8758169934640523,0.317,0.9375,78,0.306
80,0.2971872523719189,0.8758169934640523,0.323,0.9375,78,0.306
81,0.3061966909692178,0.8823529411764706,0.301,0.9375,81,0.301
82,0.29454788331891973,0.8823529411764706,0.318,0.9375,81,0.301
83,0.2976113476005255,0.8758169934640523,0.329,0.9375,81,0.301
84,0.30319979962180643,0.8823529411764706,0.3,0.9375,84,0.3
85,0.29360458488557856,0.8758169934640523,0.301,0.9375,84,0.3
86,0.2883954379293654,0.8758169934640523,0.335,0.875,84,0.3
87,0.3086693351175271,0.869281045751634,0.302,0.9375,84,0.3
88,0.2890528121025734,0.8758169934640523,0.301,0.9375,84,0.3
89,0.28598477520973853,0.8758169934640523,0.354,0.8125,84,0.3
90,0.31695203551279955,0.8627450980392157,0.339,0.8125,84,0.3
91,0.29102713395567503,0.8823529411764706,0.328,0.9375,84,0.3
92,0.2953258972931532,0.8823529411764706,0.301,0.9375,84,0.3
93,0.2822260359923045,0.8758169934640523,0.304,0.9375,84,0.3
94,0.27889250871402765,0.8758169934640523,0.356,0.8125,84,0.3
