Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.7142726588093378,0.48366013071895425,0.666,0.625,0,0.666
1,0.6317873978926465,0.6535947712418301,0.677,0.5,0,0.666
2,0.6572971308932585,0.6470588235294118,0.652,0.625,2,0.652
3,0.61861501059501,0.6405228758169934,0.66,0.625,2,0.652
4,0.5961559188911338,0.6601307189542484,0.647,0.5625,4,0.647
5,0.5942629532876358,0.6601307189542484,0.647,0.5,4,0.647
6,0.5779919230860043,0.6666666666666666,0.666,0.5625,4,0.647
7,0.5561629596099354,0.6797385620915033,0.648,0.5625,4,0.647
8,0.5532241896087048,0.7189542483660131,0.653,0.625,4,0.647
9,0.5337963150996788,0.6928104575163399,0.647,0.625,4,0.647
10,0.5203226946927364,0.7254901960784313,0.634,0.6875,10,0.634
11,0.51117285131629,0.7516339869281046,0.638,0.6875,10,0.634
12,0.4996486109456206,0.7843137254901961,0.624,0.75,12,0.624
13,0.49518514653436496,0.7777777777777778,0.618,0.75,13,0.618
14,0.48905447028041665,0.7777777777777778,0.604,0.75,14,0.604
15,0.4811208098152884,0.7712418300653595,0.59,0.75,15,0.59
16,0.4744231352229524,0.7647058823529411,0.584,0.6875,16,0.584
17,0.4635084362980587,0.7973856209150327,0.568,0.75,17,0.568
18,0.4605005486728319,0.803921568627451,0.563,0.75,18,0.563
19,0.4549918790268742,0.803921568627451,0.558,0.75,19,0.558
20,0.4405787460554659,0.8235294117647058,0.531,0.8125,20,0.531
21,0.4419425314937542,0.8104575163398693,0.529,0.75,21,0.529
22,0.44470466274062015,0.803921568627451,0.559,0.75,21,0.529
23,0.4186158787970449,0.8366013071895425,0.506,0.8125,23,0.506
24,0.42214640916562546,0.803921568627451,0.5,0.8125,24,0.5
25,0.44063256495918324,0.8169934640522876,0.548,0.75,24,0.5
26,0.4216093532010621,0.8300653594771242,0.513,0.75,24,0.5
27,0.3965218969030318,0.8169934640522876,0.495,0.75,27,0.495
28,0.42778240037120246,0.7843137254901961,0.506,0.75,27,0.495
29,0.41683193378978306,0.8235294117647058,0.538,0.75,27,0.495
30,0.38712165499824325,0.8300653594771242,0.473,0.8125,30,0.473
31,0.40514036350780064,0.8104575163398693,0.476,0.75,30,0.473
32,0.3888256201167512,0.8235294117647058,0.494,0.75,30,0.473
33,0.363812741306093,0.8366013071895425,0.449,0.8125,33,0.449
34,0.3706214492227517,0.803921568627451,0.443,0.8125,34,0.443
35,0.3864489464588415,0.8169934640522876,0.439,0.8125,35,0.439
36,0.3884153796566857,0.8104575163398693,0.508,0.75,35,0.439
37,0.36364351982384724,0.8562091503267973,0.459,0.75,35,0.439
38,0.3461974941047968,0.8169934640522876,0.444,0.8125,35,0.439
39,0.3901296892976449,0.8104575163398693,0.426,0.8125,39,0.426
40,0.4109831166033651,0.7712418300653595,0.535,0.75,39,0.426
41,0.3654704662709454,0.8431372549019608,0.42,0.8125,41,0.42
42,0.36616739981314717,0.803921568627451,0.417,0.8125,42,0.417
43,0.37032441025465923,0.803921568627451,0.496,0.75,42,0.417
44,0.3429073948486179,0.8496732026143791,0.418,0.8125,42,0.417
45,0.3357424829520431,0.8169934640522876,0.404,0.875,45,0.404
46,0.3586177691525104,0.8431372549019608,0.409,0.75,45,0.404
47,0.3397546024883495,0.8300653594771242,0.441,0.75,45,0.404
48,0.325180775978986,0.8431372549019608,0.399,0.75,48,0.399
