Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.6955174595028073,0.5273273273273273,0.732,0.4986449864498645,0,0.732
1,0.7028029867120691,0.4960960960960961,0.698,0.4986449864498645,1,0.698
2,0.6931640682635722,0.5309309309309309,0.688,0.4959349593495935,2,0.688
3,0.6821000205145942,0.5504504504504505,0.743,0.4986449864498645,2,0.688
4,0.6681826225988142,0.5948948948948949,0.79,0.4986449864498645,2,0.688
5,0.6803257405936897,0.5738738738738739,0.715,0.4986449864498645,2,0.688
6,0.6699509389407642,0.5786786786786787,0.628,0.6585365853658537,6,0.628
7,0.6533100639735614,0.6054054054054054,0.677,0.5149051490514905,6,0.628
8,0.6504954106814869,0.6177177177177177,0.683,0.5338753387533876,6,0.628
9,0.6499249573226448,0.606906906906907,0.689,0.5555555555555556,6,0.628
10,0.6285717085496083,0.6456456456456456,0.699,0.5067750677506775,6,0.628
11,0.6457776999688364,0.6243243243243243,0.685,0.5447154471544715,6,0.628
12,0.6444189025833084,0.6273273273273273,0.592,0.6883468834688347,12,0.592
13,0.6140414362913137,0.6645645645645646,0.639,0.6205962059620597,12,0.592
14,0.610462476165445,0.6657657657657657,0.609,0.6666666666666666,12,0.592
15,0.5956624033751788,0.6792792792792792,0.586,0.7018970189701897,15,0.586
16,0.6035193174808949,0.672972972972973,0.64,0.6178861788617886,15,0.586
17,0.609319599362107,0.6666666666666666,0.577,0.7073170731707317,17,0.577
18,0.597720195384355,0.6837837837837838,0.649,0.6124661246612466,17,0.577
19,0.5822358506577867,0.6963963963963964,0.585,0.7046070460704607,17,0.577
20,0.5792401456260108,0.6927927927927928,0.583,0.6937669376693767,17,0.577
21,0.5829548420848789,0.6903903903903904,0.586,0.7073170731707317,17,0.577
22,0.579916650056839,0.6933933933933933,0.587,0.7018970189701897,17,0.577
23,0.5709807607146713,0.6957957957957958,0.578,0.7100271002710027,17,0.577
24,0.5683562509827428,0.7048048048048048,0.595,0.6910569105691057,17,0.577
25,0.5632945721571868,0.7018018018018019,0.633,0.6910569105691057,17,0.577
26,0.5563620808067264,0.712012012012012,0.574,0.7154471544715447,26,0.574
27,0.5803015715367085,0.6870870870870871,0.575,0.7262872628726287,26,0.574
28,0.564629409943257,0.7135135135135136,0.58,0.7154471544715447,26,0.574
29,0.5588827531437974,0.7024024024024024,0.609,0.6937669376693767,26,0.574
30,0.547122984390717,0.7126126126126127,0.608,0.7018970189701897,26,0.574
31,0.5434266586024482,0.7183183183183183,0.598,0.7154471544715447,26,0.574
32,0.5446297077266303,0.7171171171171171,0.603,0.7100271002710027,26,0.574
33,0.5399442583233028,0.7183183183183183,0.618,0.6964769647696477,26,0.574
34,0.5429339110135316,0.7123123123123123,0.588,0.6883468834688347,26,0.574
35,0.531169209573362,0.721921921921922,0.589,0.6991869918699187,26,0.574
36,0.5364230842561694,0.7237237237237237,0.561,0.7046070460704607,36,0.561
37,0.5389981718750687,0.7216216216216216,0.568,0.7317073170731707,36,0.561
38,0.524981979654358,0.7312312312312312,0.558,0.7317073170731707,38,0.558
39,0.5252608496147592,0.7306306306306306,0.576,0.7018970189701897,38,0.558
40,0.5196800463013462,0.7327327327327328,0.576,0.7100271002710027,38,0.558
41,0.5322150296993083,0.7285285285285286,0.541,0.7344173441734417,41,0.541
42,0.5309142374061607,0.7255255255255255,0.578,0.7127371273712737,41,0.541
43,0.5286521793127776,0.7273273273273273,0.557,0.7181571815718157,41,0.541
44,0.5196445827548568,0.7279279279279279,0.554,0.7262872628726287,41,0.541
45,0.5117192239374728,0.7423423423423423,0.549,0.7073170731707317,41,0.541
46,0.5181732770379958,0.7396396396396396,0.611,0.7018970189701897,41,0.541
47,0.5117656216607079,0.7396396396396396,0.582,0.7046070460704607,41,0.541
48,0.5122381852374779,0.7435435435435436,0.584,0.7127371273712737,41,0.541
49,0.5077963960421336,0.7399399399399399,0.562,0.7262872628726287,41,0.541
50,0.5016287695717168,0.7444444444444445,0.557,0.7371273712737128,41,0.541
51,0.4856093836618257,0.7549549549549549,0.574,0.7154471544715447,41,0.541
52,0.4871296800650634,0.7477477477477478,0.587,0.7127371273712737,41,0.541
53,0.4834740316366648,0.7489489489489489,0.559,0.7262872628726287,41,0.541
54,0.47854862898677675,0.7546546546546546,0.541,0.7452574525745257,41,0.541
55,0.4717612207025379,0.7558558558558559,0.593,0.7289972899728997,41,0.541
56,0.47843947394474134,0.757957957957958,0.543,0.7479674796747967,41,0.541
57,0.46900775136353373,0.7606606606606606,0.563,0.7344173441734417,41,0.541
58,0.47339138003798936,0.7597597597597597,0.572,0.7181571815718157,41,0.541
59,0.46389749952264736,0.7612612612612613,0.56,0.7398373983739838,41,0.541
60,0.46471555054008784,0.7639639639639639,0.595,0.7181571815718157,41,0.541
61,0.46229421347827165,0.766966966966967,0.602,0.7398373983739838,41,0.541
62,0.4546609145564002,0.7696696696696697,0.564,0.7317073170731707,41,0.541
63,0.4633877173379377,0.7600600600600601,0.555,0.7425474254742548,41,0.541
64,0.4673917737272051,0.7624624624624624,0.541,0.7344173441734417,41,0.541
65,0.4603544000390772,0.7693693693693694,0.572,0.7344173441734417,41,0.541
66,0.4511725904884281,0.7711711711711712,0.604,0.7262872628726287,41,0.541
67,0.4573526577638076,0.7675675675675676,0.555,0.7425474254742548,41,0.541
68,0.44795618184783437,0.7741741741741742,0.668,0.7235772357723578,41,0.541
69,0.44309954247675143,0.7789789789789789,0.587,0.7425474254742548,41,0.541
70,0.44278649202696196,0.7810810810810811,0.547,0.7371273712737128,41,0.541
71,0.49141031566324894,0.7639639639639639,0.564,0.7317073170731707,41,0.541
72,0.46430502181744077,0.7666666666666667,0.598,0.7398373983739838,41,0.541
73,0.44687704329376104,0.7801801801801802,0.595,0.7425474254742548,41,0.541
74,0.44567912731084736,0.775975975975976,0.635,0.7317073170731707,41,0.541
75,0.44558287326459056,0.7789789789789789,0.578,0.7127371273712737,41,0.541
76,0.4328840798980839,0.7915915915915915,0.569,0.7398373983739838,41,0.541
77,0.5105078150291701,0.7429429429429429,0.55,0.7371273712737128,41,0.541
78,0.4440452133481567,0.7783783783783784,0.554,0.7289972899728997,41,0.541
79,0.43625599575024826,0.7867867867867868,0.626,0.7371273712737128,41,0.541
80,0.4379555873684697,0.7876876876876877,0.61,0.7100271002710027,41,0.541
81,0.4275172742458435,0.7891891891891892,0.607,0.7262872628726287,41,0.541
82,0.46969920681851046,0.7711711711711712,0.536,0.7452574525745257,82,0.536
83,0.4435494650927213,0.7867867867867868,0.564,0.7479674796747967,82,0.536
84,0.4182646243377133,0.7951951951951952,0.613,0.7235772357723578,82,0.536
85,0.4136673595924098,0.8018018018018018,0.642,0.7181571815718157,82,0.536
86,0.4196402132600635,0.8,0.611,0.7127371273712737,82,0.536
87,0.41980492087813825,0.7975975975975976,0.678,0.7235772357723578,82,0.536
88,0.42148574320403664,0.7978978978978979,0.565,0.7506775067750677,82,0.536
89,0.4079730811240795,0.7984984984984985,0.751,0.6883468834688347,82,0.536
90,0.4042367012874858,0.8114114114114114,0.624,0.7344173441734417,82,0.536
91,0.4406264117463036,0.7795795795795796,0.614,0.7154471544715447,82,0.536
92,0.41199187714908575,0.8006006006006006,0.613,0.7371273712737128,82,0.536
93,0.4236292652002684,0.7963963963963964,0.615,0.7235772357723578,82,0.536
94,0.4584796874551802,0.7795795795795796,0.593,0.7262872628726287,82,0.536
95,0.4325794030954172,0.7891891891891892,0.602,0.7073170731707317,82,0.536
96,0.598986281459038,0.6753753753753754,0.558,0.6991869918699187,82,0.536
97,0.5143444117572572,0.7333333333333333,0.523,0.7317073170731707,97,0.523
98,0.4839693464405902,0.7558558558558559,0.534,0.7371273712737128,97,0.523
99,0.4684571152155822,0.7663663663663663,0.55,0.7452574525745257,97,0.523
100,0.44976400843969694,0.7711711711711712,0.542,0.7425474254742548,97,0.523
101,0.4382208704500943,0.7792792792792793,0.548,0.7452574525745257,97,0.523
102,0.4319685109563776,0.784084084084084,0.531,0.7506775067750677,97,0.523
103,0.4214332438088036,0.7885885885885886,0.56,0.7506775067750677,97,0.523
104,0.4180062113402484,0.7921921921921922,0.548,0.7642276422764228,97,0.523
105,0.4187523566835277,0.7930930930930931,0.545,0.7398373983739838,97,0.523
106,0.41522098360834897,0.7957957957957958,0.533,0.7371273712737128,97,0.523
107,0.40801804105977757,0.7990990990990992,0.556,0.7317073170731707,97,0.523
108,0.40347156507653875,0.7993993993993994,0.583,0.7262872628726287,97,0.523
109,0.40251611069337023,0.8006006006006006,0.573,0.7371273712737128,97,0.523
110,0.39495797932774457,0.8009009009009009,0.588,0.7289972899728997,97,0.523
111,0.3929166143049707,0.8042042042042042,0.643,0.7317073170731707,97,0.523
112,0.4037441161972982,0.8015015015015015,0.573,0.7262872628726287,97,0.523
113,0.3920043969208056,0.8048048048048048,0.576,0.7371273712737128,97,0.523
114,0.42691523764316025,0.7870870870870871,0.55,0.7425474254742548,97,0.523
115,0.41310330896048214,0.7951951951951952,0.584,0.7208672086720868,97,0.523
116,0.39888851024188077,0.8066066066066067,0.569,0.7479674796747967,97,0.523
117,0.38943560426836615,0.8111111111111111,0.559,0.7425474254742548,97,0.523
118,0.3821371036964852,0.815015015015015,0.581,0.7317073170731707,97,0.523
119,0.37659193819260095,0.818018018018018,0.604,0.7208672086720868,97,0.523
120,0.38066400834345243,0.8147147147147147,0.581,0.7235772357723578,97,0.523
121,0.37590006352276417,0.8174174174174175,0.575,0.7506775067750677,97,0.523
122,0.36840747429264914,0.8204204204204204,0.602,0.7398373983739838,97,0.523
123,0.38324382660446227,0.8144144144144144,0.62,0.7398373983739838,97,0.523
124,0.3945374159349336,0.812012012012012,0.568,0.7289972899728997,97,0.523
125,0.3760741526546242,0.8165165165165165,0.562,0.7479674796747967,97,0.523
126,0.3635534673839718,0.8234234234234235,0.641,0.7262872628726287,97,0.523
127,0.36999870524392114,0.8234234234234235,0.581,0.7425474254742548,97,0.523
128,0.3615155118945483,0.8273273273273273,0.608,0.7289972899728997,97,0.523
129,0.37274649651558905,0.824924924924925,0.595,0.7235772357723578,97,0.523
130,0.369067953773089,0.821021021021021,0.618,0.7317073170731707,97,0.523
131,0.38121481878800434,0.8135135135135135,0.6,0.7262872628726287,97,0.523
132,0.36378906493609375,0.824924924924925,0.608,0.7344173441734417,97,0.523
133,0.35723709791182756,0.8261261261261261,0.637,0.7344173441734417,97,0.523
134,0.350930761597357,0.8285285285285285,0.669,0.7398373983739838,97,0.523
135,0.35274746027794684,0.8282282282282283,0.645,0.7425474254742548,97,0.523
136,0.34949561464893925,0.8315315315315316,0.683,0.7344173441734417,97,0.523
137,0.35038699132499396,0.8321321321321321,0.666,0.7560975609756098,97,0.523
138,0.34909882630045347,0.8336336336336336,0.668,0.7317073170731707,97,0.523
139,0.3568309073557367,0.8261261261261261,0.63,0.7398373983739838,97,0.523
140,0.3783795029775158,0.8207207207207208,0.61,0.7208672086720868,97,0.523
141,0.3780317046620824,0.8237237237237237,0.556,0.7506775067750677,97,0.523
142,0.36203277697702785,0.824024024024024,0.653,0.7289972899728997,97,0.523
143,0.3494393166725163,0.8285285285285285,0.706,0.7235772357723578,97,0.523
144,0.3472857458198124,0.8342342342342343,0.649,0.7344173441734417,97,0.523
145,0.3611269217264187,0.8312312312312312,0.593,0.7317073170731707,97,0.523
146,0.36583376672264334,0.8255255255255255,0.615,0.7479674796747967,97,0.523
147,0.3601033563885066,0.8222222222222222,0.66,0.7208672086720868,97,0.523
148,0.36041667409039835,0.8255255255255255,0.65,0.7344173441734417,97,0.523
149,0.37568918263858503,0.8216216216216217,0.597,0.7317073170731707,97,0.523
150,0.35539601693662615,0.8321321321321321,0.627,0.7235772357723578,97,0.523
151,0.33827871147532007,0.8372372372372372,0.641,0.7073170731707317,97,0.523
152,0.32909937431370173,0.8402402402402402,0.664,0.7154471544715447,97,0.523
153,0.3248267427456003,0.8429429429429429,0.687,0.7181571815718157,97,0.523
154,0.3216395952836708,0.8447447447447447,0.701,0.7208672086720868,97,0.523
155,0.31987128977079293,0.8456456456456456,0.709,0.7208672086720868,97,0.523
156,0.316939844066898,0.8468468468468469,0.727,0.7289972899728997,97,0.523
157,0.31364195638478876,0.848048048048048,0.743,0.7262872628726287,97,0.523
158,0.31239824559058516,0.8498498498498499,0.747,0.7289972899728997,97,0.523
159,0.30985145882868376,0.8492492492492493,0.769,0.7344173441734417,97,0.523
160,0.3067648820713297,0.8513513513513513,0.764,0.7317073170731707,97,0.523
161,0.30413989985848333,0.851951951951952,0.781,0.7262872628726287,97,0.523
162,0.3016691866837017,0.8537537537537537,0.786,0.7235772357723578,97,0.523
163,0.3004428033400942,0.8528528528528528,0.818,0.7289972899728997,97,0.523
164,0.2993892767262441,0.8546546546546546,0.778,0.7208672086720868,97,0.523
165,0.31940689645371995,0.8471471471471471,0.896,0.6991869918699187,97,0.523
166,0.3578272492711519,0.8291291291291292,0.618,0.7317073170731707,97,0.523
167,0.33278199146101783,0.8333333333333334,0.715,0.7018970189701897,97,0.523
168,0.31314313370768015,0.8465465465465466,0.713,0.7100271002710027,97,0.523
