Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
0,0.688053378042158,0.5591591591591591,0.694,0.5040650406504065,0,0.694
1,0.6726537049711645,0.5741741741741742,0.705,0.5718157181571816,0,0.694
2,0.6578097721656879,0.6003003003003003,0.678,0.5907859078590786,2,0.678
3,0.6418518504580936,0.6264264264264264,0.694,0.5826558265582655,2,0.678
4,0.6258495189943113,0.648948948948949,0.702,0.5907859078590786,2,0.678
5,0.6092752088297595,0.6717717717717717,0.71,0.5663956639566395,2,0.678
6,0.5879176762189952,0.6984984984984985,0.732,0.5853658536585366,2,0.678
7,0.5775367670947009,0.6975975975975977,0.681,0.6260162601626016,2,0.678
8,0.5654339202531465,0.7168168168168169,0.652,0.6829268292682927,8,0.652
9,0.5505319575737189,0.7216216216216216,0.659,0.6585365853658537,8,0.652
10,0.5453569314322314,0.7234234234234235,0.637,0.6829268292682927,10,0.637
11,0.5460751897490418,0.7276276276276277,0.722,0.6260162601626016,10,0.637
12,0.5471172260226788,0.7267267267267268,0.687,0.6531165311653117,10,0.637
13,0.5452206046328888,0.7282282282282282,0.65,0.6449864498644986,10,0.637
14,0.5334168124216813,0.7399399399399399,0.636,0.6910569105691057,14,0.636
15,0.518940059742233,0.7450450450450451,0.626,0.6910569105691057,15,0.626
16,0.5160143349755991,0.7474474474474474,0.604,0.6883468834688347,16,0.604
17,0.5094811327196098,0.7531531531531531,0.593,0.6937669376693767,17,0.593
18,0.5055459466424432,0.754054054054054,0.59,0.6964769647696477,18,0.59
19,0.5073963937100705,0.7531531531531531,0.562,0.7371273712737128,19,0.562
20,0.5017758108071378,0.7543543543543544,0.593,0.7127371273712737,19,0.562
21,0.49669946342617183,0.7570570570570571,0.583,0.7262872628726287,19,0.562
22,0.49610350284579996,0.7570570570570571,0.582,0.7289972899728997,19,0.562
23,0.4894360208028072,0.7591591591591592,0.596,0.7100271002710027,19,0.562
24,0.4976314339909826,0.7531531531531531,0.57,0.7073170731707317,19,0.562
25,0.4956823293511216,0.7516516516516516,0.568,0.7181571815718157,19,0.562
26,0.4835763616336359,0.763063063063063,0.586,0.7073170731707317,19,0.562
27,0.4753197718266252,0.7696696696696697,0.566,0.7208672086720868,19,0.562
28,0.4726729169040471,0.769069069069069,0.553,0.7371273712737128,28,0.553
29,0.4678251905215753,0.7666666666666667,0.563,0.7344173441734417,28,0.553
30,0.46222927038286543,0.76996996996997,0.559,0.7344173441734417,28,0.553
31,0.46078821711980544,0.7810810810810811,0.555,0.7235772357723578,28,0.553
32,0.45834458893215335,0.7768768768768769,0.562,0.7208672086720868,28,0.553
33,0.4649481431902708,0.778078078078078,0.557,0.7235772357723578,28,0.553
34,0.45839530857833655,0.7795795795795796,0.559,0.7317073170731707,28,0.553
35,0.4556450720171671,0.7843843843843844,0.558,0.7154471544715447,28,0.553
36,0.4565681828482373,0.7765765765765765,0.544,0.7317073170731707,36,0.544
37,0.4529126057664195,0.7774774774774775,0.561,0.7317073170731707,36,0.544
38,0.4524684227354176,0.778078078078078,0.548,0.7615176151761518,36,0.544
39,0.44716889817077476,0.7831831831831831,0.563,0.7452574525745257,36,0.544
40,0.43808801110173845,0.7930930930930931,0.548,0.7181571815718157,36,0.544
41,0.4338656082011021,0.7948948948948948,0.545,0.7289972899728997,36,0.544
42,0.43168134699175664,0.7945945945945946,0.55,0.7289972899728997,36,0.544
43,0.42971111596212375,0.7912912912912913,0.556,0.7371273712737128,36,0.544
44,0.4196986377999947,0.8069069069069069,0.552,0.7588075880758808,36,0.544
45,0.42206273908550673,0.7981981981981981,0.555,0.7479674796747967,36,0.544
46,0.42013798611568615,0.8054054054054054,0.539,0.7452574525745257,46,0.539
47,0.42226138149161596,0.806006006006006,0.546,0.7696476964769647,46,0.539
48,0.41675995816406725,0.8063063063063063,0.586,0.7371273712737128,46,0.539
49,0.40991098508238794,0.8111111111111111,0.587,0.7289972899728997,46,0.539
50,0.3968587745878812,0.8171171171171171,0.581,0.7560975609756098,46,0.539
51,0.3845892191772257,0.8219219219219219,0.564,0.7533875338753387,46,0.539
52,0.38158378645794483,0.8261261261261261,0.569,0.7615176151761518,46,0.539
53,0.375166416713582,0.8294294294294294,0.579,0.7506775067750677,46,0.539
54,0.3665257541560666,0.8333333333333334,0.58,0.7398373983739838,46,0.539
55,0.36124992717012716,0.8345345345345345,0.586,0.7425474254742548,46,0.539
56,0.35700007604082695,0.8387387387387387,0.597,0.7398373983739838,46,0.539
57,0.35339254301500034,0.8411411411411411,0.602,0.7398373983739838,46,0.539
58,0.34842657719741577,0.8438438438438438,0.613,0.7371273712737128,46,0.539
59,0.34516062870154623,0.8462462462462462,0.613,0.7371273712737128,46,0.539
60,0.3416702738989637,0.8471471471471471,0.621,0.7371273712737128,46,0.539
61,0.33752031133219307,0.8498498498498499,0.634,0.7371273712737128,46,0.539
62,0.3327787606646908,0.8543543543543544,0.636,0.7398373983739838,46,0.539
63,0.3280422828056746,0.8567567567567568,0.64,0.7371273712737128,46,0.539
64,0.3249283435976821,0.8573573573573574,0.651,0.7371273712737128,46,0.539
65,0.3221636433647274,0.8600600600600601,0.654,0.7371273712737128,46,0.539
66,0.3190226856209394,0.8597597597597597,0.653,0.7452574525745257,46,0.539
67,0.32917532728811555,0.857057057057057,0.637,0.7506775067750677,46,0.539
68,0.3280875849727731,0.8555555555555555,0.651,0.7560975609756098,46,0.539
69,0.3308291173419795,0.854954954954955,0.648,0.7506775067750677,46,0.539
70,0.3184235498241314,0.8633633633633634,0.632,0.7533875338753387,46,0.539
71,0.3098851034890402,0.8627627627627628,0.621,0.7560975609756098,46,0.539
72,0.3031887169474982,0.8681681681681682,0.634,0.7588075880758808,46,0.539
73,0.29589127144397326,0.875975975975976,0.662,0.7452574525745257,46,0.539
74,0.2906377255845977,0.8765765765765766,0.677,0.7479674796747967,46,0.539
75,0.28633044005508673,0.8783783783783784,0.673,0.7452574525745257,46,0.539
76,0.28407635402417525,0.8795795795795796,0.686,0.7452574525745257,46,0.539
77,0.2813548661367975,0.8807807807807808,0.695,0.7452574525745257,46,0.539
78,0.2799153374361018,0.8834834834834835,0.697,0.7506775067750677,46,0.539
79,0.2792625717565805,0.8831831831831832,0.706,0.7615176151761518,46,0.539
80,0.2779884042547122,0.8837837837837837,0.717,0.7452574525745257,46,0.539
81,0.276183548632991,0.8858858858858859,0.73,0.7289972899728997,46,0.539
82,0.29156699181875556,0.875975975975976,0.73,0.7154471544715447,46,0.539
83,0.28328976398138134,0.8810810810810811,0.748,0.7262872628726287,46,0.539
84,0.27965410882481245,0.8777777777777778,0.757,0.7100271002710027,46,0.539
85,0.27670824935325206,0.8804804804804804,0.749,0.7235772357723578,46,0.539
86,0.2716017495733637,0.8846846846846846,0.767,0.7289972899728997,46,0.539
87,0.27677551233059344,0.8810810810810811,0.781,0.7262872628726287,46,0.539
88,0.26722916187020196,0.8831831831831832,0.759,0.7317073170731707,46,0.539
89,0.2644455703029667,0.8825825825825826,0.758,0.7317073170731707,46,0.539
90,0.26212911870527744,0.8843843843843844,0.764,0.7452574525745257,46,0.539
91,0.2613259158088992,0.8843843843843844,0.794,0.7398373983739838,46,0.539
92,0.2581074841810648,0.8837837837837837,0.784,0.7425474254742548,46,0.539
93,0.25340482826054855,0.8882882882882883,0.79,0.7425474254742548,46,0.539
94,0.25066058314166784,0.8885885885885886,0.813,0.7371273712737128,46,0.539
95,0.2495197687130603,0.8897897897897898,0.808,0.7235772357723578,46,0.539
96,0.2495826737879525,0.8888888888888888,0.821,0.7289972899728997,46,0.539
97,0.26156396373778484,0.8861861861861862,0.793,0.7208672086720868,46,0.539
98,0.26200222884065,0.8804804804804804,0.801,0.7289972899728997,46,0.539
99,0.2734733178793981,0.881981981981982,0.745,0.7588075880758808,46,0.539
100,0.2668377575231716,0.8870870870870871,0.829,0.7262872628726287,46,0.539
101,0.256567830745307,0.8810810810810811,0.848,0.7344173441734417,46,0.539
102,0.2575639934836979,0.8864864864864865,0.831,0.7371273712737128,46,0.539
103,0.24651198400986485,0.8933933933933934,0.826,0.7344173441734417,46,0.539
104,0.23783611534261243,0.9003003003003003,0.828,0.7398373983739838,46,0.539
105,0.23225623698202075,0.9024024024024024,0.84,0.7452574525745257,46,0.539
106,0.22744359266734474,0.903003003003003,0.852,0.7452574525745257,46,0.539
107,0.22413080983042546,0.9063063063063063,0.855,0.7425474254742548,46,0.539
108,0.22028702018151827,0.9075075075075075,0.857,0.7479674796747967,46,0.539
109,0.21787806904553814,0.9102102102102102,0.863,0.7398373983739838,46,0.539
110,0.2150075984654484,0.9105105105105105,0.87,0.7371273712737128,46,0.539
111,0.21262960935792152,0.9117117117117117,0.871,0.7452574525745257,46,0.539
112,0.2102690286698224,0.912012012012012,0.88,0.7533875338753387,46,0.539
113,0.20809709039309088,0.9144144144144144,0.882,0.7533875338753387,46,0.539
114,0.20622258931626503,0.9159159159159159,0.894,0.7479674796747967,46,0.539
115,0.20430193023631865,0.9165165165165166,0.901,0.7506775067750677,46,0.539
116,0.20244898724884658,0.918918918918919,0.905,0.7479674796747967,46,0.539
117,0.20079013941181661,0.9195195195195195,0.918,0.7533875338753387,46,0.539
118,0.19973022985909597,0.9204204204204204,0.916,0.7588075880758808,46,0.539
119,0.19859762143245976,0.9213213213213213,0.928,0.7506775067750677,46,0.539
120,0.19690823985378897,0.9219219219219219,0.931,0.7533875338753387,46,0.539
121,0.19572445297980465,0.921021021021021,0.939,0.7506775067750677,46,0.539
122,0.19457944771677832,0.9237237237237237,0.946,0.7560975609756098,46,0.539
123,0.19302035796189648,0.9234234234234234,0.959,0.7479674796747967,46,0.539
124,0.19136790882127622,0.9237237237237237,0.954,0.7506775067750677,46,0.539
125,0.19022825958835474,0.9246246246246246,0.96,0.7452574525745257,46,0.539
126,0.18885454986772854,0.9234234234234234,0.972,0.7506775067750677,46,0.539
127,0.18804250957375965,0.9222222222222223,0.981,0.7425474254742548,46,0.539
128,0.18675377883613822,0.9234234234234234,0.983,0.7452574525745257,46,0.539
129,0.18562920310368652,0.924924924924925,0.992,0.7371273712737128,46,0.539
130,0.18391524328833253,0.9252252252252252,0.997,0.7344173441734417,46,0.539
131,0.18069299013851534,0.9276276276276276,0.996,0.7398373983739838,46,0.539
132,0.18012738924198393,0.9282282282282283,1.003,0.7344173441734417,46,0.539
133,0.17771372363274054,0.9288288288288288,1.004,0.7371273712737128,46,0.539
134,0.17587312913601855,0.9291291291291291,1.017,0.7371273712737128,46,0.539
