Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Best Epoch,Best Accuracy
0,0.6520028367541195,0.6339869281045751,0.583,0.75,0,0.583
1,0.6180295511788013,0.6274509803921569,0.52,0.75,1,0.52
2,0.6000947200394924,0.6470588235294118,0.545,0.8125,1,0.52
3,0.5861384525797726,0.6797385620915033,0.51,0.8125,3,0.51
4,0.574530647860633,0.6601307189542484,0.5,0.8125,4,0.5
5,0.5653817548471338,0.673202614379085,0.511,0.6875,4,0.5
6,0.5638891205289005,0.6928104575163399,0.498,0.625,6,0.498
7,0.5617807421808928,0.6666666666666666,0.497,0.6875,7,0.497
8,0.5574095646540324,0.6993464052287581,0.503,0.6875,7,0.497
9,0.5567680390831692,0.6993464052287581,0.492,0.6875,9,0.492
10,0.5544488367691539,0.6797385620915033,0.494,0.6875,9,0.492
11,0.5502082312029172,0.6993464052287581,0.495,0.6875,9,0.492
12,0.5488630883833941,0.6993464052287581,0.489,0.6875,12,0.489
13,0.5448773168270884,0.6993464052287581,0.492,0.6875,12,0.489
14,0.5428670259083018,0.6993464052287581,0.487,0.6875,14,0.487
15,0.5394578486486198,0.6993464052287581,0.489,0.6875,14,0.487
16,0.5368808780620301,0.6928104575163399,0.484,0.75,16,0.484
17,0.5338342271599115,0.6993464052287581,0.486,0.6875,16,0.484
18,0.5310777336164237,0.6993464052287581,0.481,0.75,18,0.481
19,0.5279838863541099,0.7189542483660131,0.484,0.75,18,0.481
20,0.5257191521669525,0.7254901960784313,0.483,0.75,18,0.481
21,0.5223156092992796,0.7254901960784313,0.481,0.75,18,0.481
22,0.5207074455965578,0.7254901960784313,0.484,0.75,18,0.481
23,0.517802010953816,0.7189542483660131,0.481,0.75,18,0.481
24,0.515477330856074,0.7320261437908496,0.481,0.75,18,0.481
25,0.5147238568542829,0.7254901960784313,0.479,0.75,25,0.479
26,0.5119154983096652,0.7254901960784313,0.474,0.75,26,0.474
27,0.510143361060448,0.7581699346405228,0.479,0.75,26,0.474
28,0.5102733346371869,0.7581699346405228,0.475,0.75,26,0.474
29,0.507364369295781,0.7777777777777778,0.47,0.75,29,0.47
30,0.5051033687747382,0.7581699346405228,0.48,0.75,29,0.47
31,0.5074183765579673,0.7647058823529411,0.47,0.75,29,0.47
32,0.5028377397387636,0.7777777777777778,0.47,0.75,29,0.47
33,0.5024971989245196,0.7843137254901961,0.471,0.75,29,0.47
34,0.5030304294785642,0.7843137254901961,0.464,0.75,34,0.464
35,0.4990057836171069,0.7843137254901961,0.467,0.75,34,0.464
36,0.5004719242550968,0.7777777777777778,0.464,0.75,34,0.464
37,0.4991445584234849,0.7712418300653595,0.464,0.75,34,0.464
38,0.49818717926935435,0.7712418300653595,0.458,0.75,38,0.458
39,0.49669909282447466,0.7777777777777778,0.465,0.75,38,0.458
40,0.49798060008902956,0.7581699346405228,0.459,0.75,38,0.458
41,0.4969284051384022,0.7581699346405228,0.458,0.75,38,0.458
42,0.49510402032752443,0.7712418300653595,0.459,0.75,38,0.458
43,0.4961700104420481,0.7581699346405228,0.458,0.75,38,0.458
44,0.4957699888671925,0.7516339869281046,0.46,0.75,38,0.458
45,0.49507259153852273,0.7581699346405228,0.457,0.75,45,0.457
46,0.49413813757740593,0.7516339869281046,0.456,0.75,46,0.456
47,0.49476386869654937,0.7450980392156863,0.456,0.75,46,0.456
48,0.4942174631785723,0.7516339869281046,0.459,0.75,46,0.456
49,0.4946964897361456,0.7516339869281046,0.452,0.75,49,0.452
50,0.4918321351599849,0.7516339869281046,0.452,0.75,49,0.452
51,0.49083581897947526,0.7647058823529411,0.45,0.75,51,0.45
52,0.49086244939978607,0.7647058823529411,0.448,0.75,52,0.448
53,0.49060968869651844,0.7581699346405228,0.448,0.75,52,0.448
54,0.4904903255256952,0.7581699346405228,0.449,0.75,52,0.448
55,0.4909712200850443,0.7581699346405228,0.446,0.75,55,0.446
56,0.4904697237451092,0.7581699346405228,0.446,0.75,55,0.446
57,0.4904591004832897,0.7581699346405228,0.447,0.75,55,0.446
58,0.4901910408649569,0.7581699346405228,0.445,0.75,58,0.445
59,0.49027562959521426,0.7581699346405228,0.446,0.75,58,0.445
60,0.4900202571956161,0.7450980392156863,0.447,0.75,58,0.445
61,0.4899872751796947,0.7581699346405228,0.445,0.75,58,0.445
62,0.48983750935473475,0.7450980392156863,0.445,0.75,58,0.445
63,0.48967300715789297,0.7581699346405228,0.446,0.75,58,0.445
64,0.48967524992874245,0.7450980392156863,0.446,0.75,58,0.445
65,0.4897114159234988,0.7581699346405228,0.447,0.75,58,0.445
