Fold,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
1,0,0.7920665556578328,0.43884892086330934,0.7724165916442871,0.46875,99999,0
1,1,0.7726200132918872,0.43884892086330934,0.7422540187835693,0.46875,99999,0
1,2,0.7397030746336464,0.43884892086330934,0.7097921371459961,0.46875,99999,0
1,3,0.7085396909027648,0.44244604316546765,0.6899908185005188,0.59375,99999,0
1,4,0.6899736476459092,0.5539568345323741,0.6917144060134888,0.53125,99999,0
1,5,0.6821180371929416,0.5611510791366906,0.7050020098686218,0.53125,99999,0
1,6,0.6849037486014606,0.564748201438849,0.7070522308349609,0.53125,99999,0
1,7,0.6787421398883243,0.564748201438849,0.6971850991249084,0.53125,99999,0
1,8,0.677612320982295,0.5863309352517986,0.6894140243530273,0.53125,99999,0
1,9,0.6769509032475862,0.5863309352517986,0.6897143125534058,0.53125,99999,0
1,10,0.6750547645760955,0.6079136690647482,0.6898582577705383,0.53125,99999,0
1,11,0.6727712707553836,0.5971223021582733,0.7035688161849976,0.5,99999,0
1,12,0.6679680360306939,0.60431654676259,0.6987371444702148,0.53125,99999,0
1,13,0.6687116327045632,0.6115107913669064,0.6961531043052673,0.53125,99999,0
1,14,0.663783880875265,0.6223021582733813,0.690765917301178,0.53125,99999,0
1,15,0.6607939322217763,0.5971223021582733,0.6915624141693115,0.53125,99999,0
1,16,0.6619031489324226,0.6187050359712231,0.7028089761734009,0.53125,99999,0
1,17,0.6549007583865158,0.6223021582733813,0.6940999627113342,0.53125,99999,0
1,18,0.6529377124292387,0.60431654676259,0.6904948949813843,0.53125,99999,0
1,19,0.6477358251166858,0.6115107913669064,0.6887450814247131,0.53125,99999,0
1,20,0.6613208522899545,0.5827338129496403,0.6882708072662354,0.53125,99999,0
1,21,0.6530758168199937,0.6223021582733813,0.7205892205238342,0.53125,99999,0
1,22,0.6475976962837384,0.6223021582733813,0.6903929114341736,0.53125,99999,0
1,23,0.6498769152936318,0.5971223021582733,0.6846659183502197,0.5625,99999,0
1,24,0.6453383324815215,0.6294964028776978,0.6817260384559631,0.53125,99999,0
1,25,0.6499169095814656,0.5863309352517986,0.7114384174346924,0.53125,99999,0
1,26,0.6513592686584527,0.60431654676259,0.6862736940383911,0.5625,99999,0
1,27,0.6373194464676671,0.5899280575539568,0.6847583651542664,0.53125,99999,0
1,28,0.6323839387447714,0.6474820143884892,0.6879164576530457,0.5625,99999,0
1,29,0.6315582175906613,0.6079136690647482,0.6878648996353149,0.5625,99999,0
1,30,0.6334911747802076,0.6079136690647482,0.6802011132240295,0.53125,99999,0
1,31,0.6431396166197687,0.5935251798561151,0.6825301051139832,0.53125,99999,0
1,32,0.6398875288826098,0.6079136690647482,0.6885859370231628,0.5625,99999,0
1,33,0.6359428283121946,0.60431654676259,0.6902641654014587,0.53125,99999,0
1,34,0.6285999417304993,0.6258992805755396,0.6799355745315552,0.625,99999,0
1,35,0.6316286308302296,0.6223021582733813,0.677868664264679,0.625,99999,0
1,36,0.6319392833778327,0.6402877697841727,0.68262779712677,0.5625,99999,0
1,37,0.6290750687928508,0.6115107913669064,0.6891714334487915,0.5625,99999,0
1,38,0.625498340284224,0.6115107913669064,0.6798006296157837,0.625,99999,0
1,39,0.6284047733965538,0.5971223021582733,0.6783847212791443,0.5625,99999,0
1,40,0.6235283347342512,0.6223021582733813,0.6809593439102173,0.5625,99999,0
1,41,0.6255413015111745,0.6187050359712231,0.6786501407623291,0.5625,99999,0
