Fold,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Best Epoch,Best Accuracy
1,0,0.6740783766696328,0.6381578947368421,0.6197793483734131,0.7777777777777778,99999,0
1,1,0.6677480340003967,0.6381578947368421,0.6014230847358704,0.7777777777777778,99999,0
1,2,0.6623596925484506,0.6381578947368421,0.5814509987831116,0.7777777777777778,99999,0
1,3,0.6499937459042198,0.6381578947368421,0.5629744529724121,0.7777777777777778,99999,0
1,4,0.6444641790891948,0.6381578947368421,0.5514740943908691,0.7777777777777778,99999,0
1,5,0.6409797511602703,0.6381578947368421,0.545136034488678,0.7777777777777778,99999,0
1,6,0.6377649338621842,0.6381578947368421,0.5338625907897949,0.7777777777777778,99999,0
1,7,0.6237377994938901,0.6381578947368421,0.5105099678039551,0.7777777777777778,99999,0
1,8,0.6167181291078266,0.6381578947368421,0.47632768750190735,0.7777777777777778,99999,0
1,9,0.6082894927576968,0.6381578947368421,0.4471040964126587,0.7777777777777778,99999,0
1,10,0.5818802149672258,0.6447368421052632,0.4442811906337738,0.9444444444444444,99999,0
1,11,0.5672924361730877,0.7697368421052632,0.351152241230011,0.9444444444444444,99999,0
1,12,0.5332053868394149,0.7236842105263158,0.3029152452945709,0.8888888888888888,99999,0
1,13,0.5207009221378126,0.743421052631579,0.35710135102272034,1.0,99999,0
1,14,0.4982118355600457,0.8223684210526315,0.2292913794517517,1.0,99999,0
1,15,0.4647136612942344,0.7894736842105263,0.2472156435251236,1.0,99999,0
1,16,0.45045170187950134,0.8223684210526315,0.192133367061615,1.0,99999,0
1,17,0.45663706409303767,0.7894736842105263,0.1913575977087021,0.9444444444444444,99999,0
1,18,0.44324021904092087,0.7763157894736842,0.28435471653938293,0.8888888888888888,99999,0
1,19,0.4157431753058183,0.8552631578947368,0.16674785315990448,0.9444444444444444,99999,0
1,20,0.4127684643394069,0.8157894736842105,0.1573503017425537,1.0,99999,0
1,21,0.42915846015277664,0.8355263157894737,0.11521586030721664,1.0,99999,0
1,22,0.4479098618030548,0.8092105263157895,0.12101566791534424,1.0,99999,0
1,23,0.4215597369168934,0.8421052631578947,0.29408445954322815,0.8888888888888888,99999,0
1,24,0.4671289795323422,0.7828947368421053,0.1078946441411972,1.0,99999,0
1,25,0.44040880705180924,0.8026315789473685,0.10384118556976318,1.0,99999,0
1,26,0.3812332953277387,0.8157894736842105,0.19831624627113342,0.9444444444444444,99999,0
1,27,0.42891733740505417,0.8092105263157895,0.11057952791452408,1.0,99999,0
1,28,0.4328040417871977,0.8026315789473685,0.14597542583942413,0.9444444444444444,99999,0
1,29,0.4232211238459537,0.8092105263157895,0.15485818684101105,1.0,99999,0
1,30,0.3954000551449625,0.868421052631579,0.25779426097869873,0.8888888888888888,99999,0
1,31,0.43926177997338145,0.8092105263157895,0.14867587387561798,1.0,99999,0
1,32,0.37915629462191935,0.8552631578947368,0.13226963579654694,1.0,99999,0
1,33,0.4092903811680643,0.8289473684210527,0.1236787736415863,0.9444444444444444,99999,0
1,34,0.41168249751392166,0.8092105263157895,0.16980183124542236,0.9444444444444444,99999,0
1,35,0.36981020318834407,0.8486842105263158,0.16423173248767853,0.9444444444444444,99999,0
1,36,0.37970509340888575,0.8355263157894737,0.11884792894124985,1.0,99999,0
1,37,0.3986554741859436,0.8223684210526315,0.11281915754079819,1.0,99999,0
1,38,0.40325939341595296,0.8026315789473685,0.16203847527503967,0.9444444444444444,99999,0
1,39,0.4021103507594058,0.8223684210526315,0.11785001307725906,1.0,99999,0
1,40,0.3848587760799809,0.8157894736842105,0.10708346962928772,1.0,99999,0
1,41,0.3926580736511632,0.8421052631578947,0.14595545828342438,0.9444444444444444,99999,0
1,42,0.3805203304478997,0.8223684210526315,0.11107584834098816,1.0,99999,0
1,43,0.3623138226960835,0.8552631578947368,0.11070093512535095,1.0,99999,0
1,44,0.39198084410868195,0.8289473684210527,0.1223803386092186,0.9444444444444444,99999,0
1,45,0.37300655402635274,0.8157894736842105,0.1141800582408905,1.0,99999,0
1,46,0.3878832867271022,0.8223684210526315,0.14605826139450073,0.9444444444444444,99999,0
1,47,0.3956954808611619,0.8289473684210527,0.15215113759040833,0.9444444444444444,99999,0
1,48,0.34594744914456416,0.868421052631579,0.12179769575595856,0.9444444444444444,99999,0
1,49,0.41996318886154577,0.8157894736842105,0.15790611505508423,0.9444444444444444,99999,0
1,50,0.3996154446350901,0.8355263157894737,0.22371625900268555,0.8888888888888888,99999,0
1,51,0.40976755242598684,0.8157894736842105,0.10346505045890808,1.0,99999,0
1,52,0.4147083978903921,0.8355263157894737,0.1224038228392601,1.0,99999,0
1,53,0.39695738020696136,0.8355263157894737,0.22787488996982574,0.8888888888888888,99999,0
1,54,0.3919697576447537,0.8355263157894737,0.12709657847881317,1.0,99999,0
1,55,0.3829292043259269,0.8421052631578947,0.11196684837341309,1.0,99999,0
1,56,0.38092123834710373,0.8421052631578947,0.17868737876415253,0.9444444444444444,99999,0
1,57,0.39032761517323944,0.8355263157894737,0.15372654795646667,0.9444444444444444,99999,0
1,58,0.3812548698563325,0.8421052631578947,0.11640560626983643,0.9444444444444444,99999,0
1,59,0.4084835475996921,0.8223684210526315,0.14984458684921265,1.0,99999,0
1,60,0.3719178940120496,0.8552631578947368,0.1836940348148346,0.9444444444444444,99999,0
1,61,0.36088603578115763,0.8421052631578947,0.1554342359304428,0.9444444444444444,99999,0
1,62,0.38368009109246104,0.8355263157894737,0.15767931938171387,0.9444444444444444,99999,0
1,63,0.37183258251139994,0.8355263157894737,0.1442633718252182,0.9444444444444444,99999,0
1,64,0.3902372600216615,0.7960526315789473,0.23981663584709167,0.8888888888888888,99999,0
1,65,0.39746032263103287,0.8355263157894737,0.1258813738822937,1.0,99999,0
1,66,0.39039213249557897,0.8223684210526315,0.10068455338478088,1.0,99999,0
1,67,0.38235512532685934,0.8223684210526315,0.12850432097911835,1.0,99999,0
